assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,season,season_idx,news_added,creativity_rank,creativity_rank_type,ict_index_rank,ict_index_rank_type,influence_rank,influence_rank_type,threat_rank,threat_rank_type
0,7,657,100,100,9,18726,0,0,0,0,10.0,2,281.0,1,3.5,-0.5,0,Artur,0.0,63,0,82.4,29,False,815.4,0.0,0.0,0.0,0.0,3150,,45,0,0,2,18726.jpg,3.4,0,115,Boruc,6.2,False,1,a,2,91,0.0,120,315307,0,282288,0,0.0,26.7,Boruc,2,2016-17,0,,,,,,,,,
0,1,37,75,0,1,15885,0,0,-1,1,0.0,0,31.0,1,0.0,0.0,0,Adam,0.0,3,0,3.5,30,False,34.4,0.0,0.0,0.0,0.0,180,Knee injury - 75% chance of playing,44,0,0,0,15885.jpg,4.0,0,5,Federici,0.1,False,23,d,2,91,0.0,8,2240,0,4322,0,0.0,1.8,Federici,1,2016-17,0,,,,,,,,,
1,7,639,100,100,10,15149,0,0,0,0,291.2,1,462.0,2,3.8,-0.5,1,Simon,0.0,54,0,117.3,31,False,748.2,0.0,0.0,0.0,0.0,2938,,45,0,0,0,15149.jpg,2.6,1,0,Francis,1.4,False,2,a,2,91,130.0,89,172920,0,176907,0,0.0,19.8,Francis,4,2016-17,0,,,,,,,,,
0,17,777,100,100,10,56917,0,0,-2,2,66.2,1,443.0,2,3.3,-0.5,2,Steve,0.0,67,2,158.2,32,False,1123.0,0.0,0.0,0.0,0.0,3420,,48,1,0,0,56917.jpg,2.9,0,0,Cook,3.2,False,3,a,2,91,391.0,112,252167,0,158758,0,0.0,23.3,Steve Cook,5,2016-17,0,,,,,,,,,
3,14,692,100,100,10,41320,0,0,2,-2,528.3,5,491.0,2,5.3,-0.5,2,Charlie,0.0,53,4,152.9,33,False,698.2,0.0,0.0,0.0,0.0,3060,,52,0,0,0,41320.jpg,3.9,0,0,Daniels,9.9,False,11,a,2,91,302.0,134,869600,0,648348,0,0.0,25.8,Daniels,1,2016-17,0,,,,,,,,,
5,12,645,100,100,8,54469,0,0,1,-1,509.8,1,297.0,2,5.3,-0.5,2,Adam,0.0,61,1,132.1,34,False,566.6,0.0,0.0,0.0,0.0,3101,,46,1,0,0,54469.jpg,2.9,0,0,Smith,7.0,False,15,a,2,91,242.0,104,700992,0,532703,0,0.0,22.6,Smith,6,2016-17,0,,,,,,,,,
0,2,89,100,100,0,149484,0,0,0,0,18.3,0,1.0,2,-0.5,-0.5,0,Tyrone,0.0,16,0,18.9,35,False,125.4,0.0,0.0,0.0,0.0,506,,45,2,0,0,149484.jpg,0.6,0,0,Mings,0.0,False,26,a,2,91,45.0,4,1890,0,2242,0,0.0,0.9,Mings,0,2016-17,0,,,,,,,,,
1,8,267,100,100,3,126184,0,0,-6,6,55.5,2,232.0,2,2.3,1.5,0,Nathan,0.0,20,3,57.5,36,False,373.2,0.0,0.0,0.0,0.0,834,,39,0,0,0,126184.jpg,4.6,0,0,Ak̩,6.1,False,6,a,4,8,147.0,55,662287,0,504357,0,0.0,14.1,Ak̩,1,2016-17,0,,,,,,,,,
4,6,513,100,75,9,48615,0,0,0,0,533.0,0,188.0,3,2.1,-0.4,0,Harry,0.0,62,1,135.4,37,False,482.0,0.0,0.0,0.0,0.0,2956,,50,0,1,0,48615.jpg,2.4,1,0,Arter,0.3,False,8,a,2,91,343.0,84,26546,0,24970,0,0.0,16.8,Arter,11,2016-17,0,,,,,,,,,
3,6,224,100,100,5,20037,0,0,-4,4,304.6,2,245.0,3,4.8,-0.5,2,Marc,0.0,24,2,83.3,38,False,238.6,0.0,0.0,0.0,0.0,1329,,46,0,0,0,20037.jpg,3.0,0,0,Pugh,0.4,False,7,a,2,91,290.0,64,27133,0,13978,0,0.0,13.9,Pugh,1,2016-17,0,,,,,,,,,
